GeneID	geneSymbol	gene	seqnames	start	end	width	strand	L	area	beta	stat	pval	qval	index.start	index.end	index.width	direction	difference	ICU11	ICU12	ICU20	ICU26	NON05	NON12	NON22	NON23	NON25	NON27	NON28
ENSG00000020633	RUNX3	RUNX family transcription factor 3	chr1	24920408	24920677	270	*	5	1.395219537	-1.069018061	-11.46197906	0.000265355	0.048665148	37170	37174	5	Hypomethylated	-34	0.951876955	0.977440617	0.901812517	0.934566321	0.742623382	0.686049928	0.725949344	0.824396494	0.79614105	0.696005365	0.627419186
ENSG00000023892	DEF6	DEF6 guanine nucleotide exchange factor	chr6	35318201	35318535	335	*	13	7.109534738	-1.897273311	-8.340456302	0.001122655	0.048939664	430851	430863	13	Hypomethylated	-60	0.99721704	0.996979609	0.909345704	0.952966069	0.86956491	0.890058532	0.908555511	0.913033005	0.882796176	0.828606725	0.611520994
ENSG00000032389	EIPR1	EARP complex and GARP complex interacting protein 1	chr2	3282223	3282575	353	*	6	2.669425733	-1.523703717	-8.218471482	0.001224715	0.049321012	129300	129305	6	Hypomethylated	-49	0.98571423	0.988992585	0.957927352	0.909997399	0.829872699	0.723254764	0.848015168	0.840354961	0.77003568	0.867342163	0.634942277
ENSG00000049089	COL9A2	collagen type IX alpha 2 chain	chr1	40303522	40304364	843	*	35	10.76958206	-0.833733459	-10.13857383	0.000571534	0.048665148	52992	53026	35	Hypomethylated	-27	0.97053579	0.928406648	0.888976293	0.938633864	0.606050219	0.72507818	0.673593647	0.703040175	0.670569181	0.64427874	0.643043287
ENSG00000049759	NEDD4L	NEDD4 like E3 ubiquitin protein ligase	chr18	58221558	58221668	111	*	5	3.268507469	-1.603491415	-8.681898588	0.001000184	0.048665148	1178052	1178056	5	Hypomethylated	-51	0.955410801	0.905982198	0.847734938	0.872483378	0.36926639	0.656415372	0.385619496	0.416216252	0.524414821	0.748977015	0.186995277
ENSG00000055917	PUM2	pumilio RNA binding family member 2	chr2	20348679	20348821	143	*	9	5.033653182	-1.364375803	-8.156101368	0.001265539	0.049321012	136815	136823	9	Hypomethylated	-43	0.949347752	0.865982514	0.998560736	0.880490091	0.268441491	0.563481447	0.261719637	0.420115113	0.397101296	0.628782922	0.204522363
ENSG00000057657	PRDM1	PR/SET domain 1	chr6	106099366	106099527	162	*	6	4.433203615	-2.449469039	-12.69927267	0.00010206	0.036728413	449526	449531	6	Hypomethylated	-78	0.655910471	0.788332199	0.773480743	0.849987566	0.72510625	0.656873814	0.672364666	0.693112676	0.716745224	0.605991428	0.413220439
ENSG00000059122	FLYWCH1	FLYWCH-type zinc finger 1	chr16	2923720	2925520	1801	*	20	7.071579943	-1.044522134	-8.74816758	0.001000184	0.048665148	1012454	1012473	20	Hypomethylated	-33	0.879194425	0.922089687	0.888897371	0.846892854	0.312984256	0.60321259	0.491611842	0.499587077	0.498255543	0.746350571	0.418472732
ENSG00000063127	SLC6A16	solute carrier family 6 member 16	chr19	49338067	49338670	604	*	7	4.245654905	-2.026910216	-10.28854807	0.000510298	0.048665148	1274675	1274681	7	Hypomethylated	-65	0.836160772	0.895926486	0.907524959	0.823161404	0.303839989	0.3383353	0.469006537	0.427781195	0.348560368	0.467274084	0.14481328
ENSG00000063660	GPC1	glypican 1	chr2	240438922	240439212	291	*	8	5.616038551	-2.429093023	-8.770899433	0.001000184	0.048665148	220084	220091	8	Hypomethylated	-77	0.864420001	0.976886638	0.903701332	0.82188089	0.125561316	0.320073823	0.313646995	0.287420488	0.481925962	0.030048947	0.364721053
ENSG00000064932	SBNO2	strawberry notch homolog 2	chr19	1152033	1152521	489	*	10	1.596644389	-1.156204139	-10.80346507	0.000387826	0.048665148	1194881	1194890	10	Hypomethylated	-37	0.947033184	0.95898322	0.912221208	0.935908699	0.310063607	0.700111652	0.88712403	0.904785565	0.805653891	0.912638726	0.580377178
ENSG00000064932.1	SBNO2.1	strawberry notch homolog 2	chr19	1167807	1170512	2706	*	43	25.67800905	-1.567927152	-12.10607465	0.000204119	0.048665148	1194991	1195033	43	Hypomethylated	-50	0.902574347	0.963862871	0.969858866	0.895828594	0.210000124	0.406819095	0.303890958	0.389237279	0.429114538	0.517583926	0.166203351
ENSG00000065268	WDR18	WD repeat domain 18	chr19	979382	979573	192	*	8	4.535921232	-1.911457474	-11.61418308	0.000265355	0.048665148	1193515	1193522	8	Hypomethylated	-61	0.990962552	0.966314954	0.875336605	0.814142728	0.514630418	0.388409673	0.453970447	0.393237782	0.392101754	0.676805754	0.279977988
ENSG00000065328	MCM10	minichromosome maintenance 10 replication initiation factor	chr10	13158518	13158835	318	*	19	2.878028186	-0.909033775	-10.16746251	0.000571534	0.048665148	681469	681487	19	Hypomethylated	-29	0.794177331	0.512319502	0.761208604	0.683711505	0.658645464	0.638444704	0.604709889	0.504593682	0.375798944	0.560258775	0.212658364
ENSG00000065621	GSTO2	glutathione S-transferase omega 2	chr10	104275250	104275388	139	*	6	1.809199166	-1.263249871	-8.222124781	0.001224715	0.049321012	721213	721218	6	Hypomethylated	-40	0.3577787	0.408990495	0.72693144	0.474191087	0.179129099	0.298882418	0.383081998	0.393311758	0.291338672	0.123676605	0.239968757
ENSG00000066735	KIF26A	kinesin family member 26A	chr14	104171169	104172238	1070	*	17	10.37749488	-1.754543532	-8.947378571	0.000938948	0.048665148	949365	949381	17	Hypomethylated	-56	0.960395668	0.975035279	0.930467733	0.955660266	0.154357008	0.658497891	0.580071568	0.598583854	0.602061437	0.720111492	0.403742462
ENSG00000067606	PRKCZ	protein kinase C zeta	chr1	2051564	2052666	1103	*	20	6.021760126	-0.989226181	-8.726747268	0.001000184	0.048665148	6992	7011	20	Hypomethylated	-31	0.938108163	0.908558968	0.881866942	0.888552163	0.609445685	0.579648987	0.505866323	0.59490935	0.55563093	0.656898932	0.36836622
ENSG00000068137	PLEKHH3	"pleckstrin homology, MyTH4 and FERM domain containing H3"	chr17	42672170	42672388	219	*	16	9.953744337	-1.490682524	-8.296222209	0.001163479	0.049321012	1111499	1111514	16	Hypomethylated	-47	0.703103892	0.655501198	0.885408482	0.811727301	0.253135929	0.386423718	0.219910801	0.265459148	0.260732447	0.55950571	0.084213334
ENSG00000068383	INPP5A	inositol polyphosphate-5-phosphatase A	chr10	132667774	132667978	205	*	9	5.89848514	-1.891870765	-11.3746799	0.000265355	0.048665148	737794	737802	9	Hypomethylated	-60	0.939031721	0.947230812	0.986527243	0.936685284	0.349332008	0.449406164	0.370029315	0.355396955	0.471676773	0.660177722	0.296869506
ENSG00000071242	RPS6KA2	ribosomal protein S6 kinase A2	chr6	166470282	166471050	769	*	10	4.051931372	-1.120629854	-8.138512463	0.001265539	0.049321012	469227	469236	10	Hypomethylated	-36	0.863738794	0.825769432	0.734043052	0.824157487	0.521576717	0.566527429	0.442373049	0.433273355	0.585044749	0.693561414	0.452503343
ENSG00000071539	TRIP13	thyroid hormone receptor interactor 13	chr5	931003	931249	247	*	6	3.986363491	-1.588389964	-9.005392166	0.000898124	0.048665148	347392	347397	6	Hypomethylated	-51	0.500555756	0.573609024	0.567612592	0.466045084	0.270634378	0.416576512	0.358821768	0.36285663	0.320980768	0.364942809	0.15692718
ENSG00000072071	ADGRL1	adhesion G protein-coupled receptor L1	chr19	14265395	14266120	726	*	22	9.498880731	-1.472956107	-8.963056714	0.000938948	0.048665148	1232029	1232050	22	Hypomethylated	-47	0.745755169	0.776263051	0.830622547	0.779906782	0.284110046	0.579331672	0.451993777	0.349859372	0.415765463	0.513685402	0.184174992
ENSG00000072134	EPN2-IT1	EPN2 intronic transcript 1	chr17	19239271	19239654	384	*	13	6.865730165	-1.603478165	-8.889484109	0.000979772	0.048665148	1094182	1094194	13	Hypomethylated	-51	0.792093472	0.91779483	0.930513204	0.92846962	0.268869392	0.618615762	0.588270347	0.646254729	0.695836639	0.392073947	0.371350787
ENSG00000075275	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1	chr22	46453224	46454668	1445	*	17	10.44638117	-1.762017484	-8.59356594	0.001000184	0.048665148	1389413	1389429	17	Hypomethylated	-56	0.916714598	0.809638517	0.764635058	0.862621135	0.364241439	0.589410356	0.429872434	0.418437766	0.485065543	0.51617909	0.199737393
ENSG00000075275.1	CELSR1.1	cadherin EGF LAG seven-pass G-type receptor 1	chr22	46533188	46533448	261	*	6	2.70039107	-2.308894032	-10.93447088	0.000347003	0.048665148	1389541	1389546	6	Hypomethylated	-73	0.943346419	0.962711056	0.97215947	0.931715095	0.081441208	0.230995618	0.403754222	0.419190678	0.503325145	0.686680322	0.076597564
ENSG00000076864	RAP1GAP	RAP1 GTPase activating protein	chr1	21608321	21608365	45	*	6	1.589618212	1.577950409	10.23600674	0.00053071	0.048665148	33446	33451	6	Hypermethylated	50	0.159277925	0.379525476	0.30495988	0.403304854	0.223779457	0.487917256	0.263079946	0.227428935	0.24190156	0.18986829	0.269718888
ENSG00000077549	CAPZB	capping actin protein of muscle Z-line subunit beta	chr1	19349976	19350058	83	*	5	3.641795868	-2.036139064	-15.02213006	6.12E-05	0.036728413	31405	31409	5	Hypomethylated	-65	0.924141271	0.951629305	0.917947631	0.946925715	0.396135151	0.715240538	0.621101312	0.613536408	0.668951198	0.71052353	0.454617151
ENSG00000078900	TP73	tumor protein p73	chr1	3689582	3690880	1299	*	15	10.36760522	-2.109501717	-9.549726328	0.000714417	0.048665148	13043	13057	15	Hypomethylated	-67	0.83925235	0.917568957	0.781441011	0.786619047	0.290773029	0.207472412	0.422043558	0.397693997	0.410945827	0.465552041	0.219787441
ENSG00000080503	SMARCA2	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"	chr9	1659768	1659856	89	*	5	3.119988308	-1.677483959	-10.20566543	0.000571534	0.048665148	610905	610909	5	Hypomethylated	-53	0.806908115	0.936813219	0.736592882	0.907458064	0.621381415	0.757116038	0.758424735	0.61487943	0.727055129	0.72048583	0.476366729
ENSG00000080854	IGSF9B	immunoglobulin superfamily member 9B	chr11	133951110	133951879	770	*	8	5.021144291	-1.742611742	-9.34628726	0.000796065	0.048665148	811859	811866	8	Hypomethylated	-55	0.919826073	0.92352254	0.538425733	0.833718876	0.085815826	0.180247158	0.250537256	0.177174201	0.179507807	0.299915403	0.04114796
ENSG00000082397	EPB41L3	erythrocyte membrane protein band 4.1 like 3	chr18	5489087	5489132	46	*	9	4.678013841	-2.111365132	-12.20408351	0.000183707	0.048665148	1161638	1161646	9	Hypomethylated	-67	0.999288593	0.800964502	0.702267835	0.908929098	0.046091836	0.266088948	0.673199206	0.371992176	0.531509865	0.143360862	0.267476003
ENSG00000087266	SH3BP2	SH3 domain binding protein 2	chr4	2796249	2796500	252	*	6	4.684075159	-2.110007486	-8.725251685	0.001000184	0.048665148	296097	296102	6	Hypomethylated	-67	0.138191941	0.225539695	0.163358602	0.21381913	0.103886852	0.063030343	0.059245426	0.025840606	0.078505216	0.011291214	0.025683014
ENSG00000087510	TFAP2C	transcription factor AP-2 gamma	chr20	56627180	56627831	652	*	16	5.713211493	1.236569333	8.961689785	0.000938948	0.048665148	1322574	1322589	16	Hypermethylated	39	0.039173501	0.100722234	0.099616386	0.14173954	0.533599084	0.441308357	0.481094021	0.333867594	0.371099692	0.184774395	0.411142437
ENSG00000087510.1	TFAP2C.1	transcription factor AP-2 gamma	chr20	56802185	56802295	111	*	5	2.793924194	-1.374105497	-11.09126881	0.000306179	0.048665148	1322820	1322824	5	Hypomethylated	-44	0.794386672	0.801248202	0.649909104	0.828785921	0.384776081	0.561199432	0.433858454	0.402283539	0.487554075	0.487041755	0.273159304
ENSG00000088881	EBF4	EBF family member 4	chr20	2694765	2694841	77	*	7	1.851069088	-1.803629629	-9.151638532	0.000836888	0.048665148	1293458	1293464	7	Hypomethylated	-57	0.919679833	0.614110441	0.999649612	0.691346569	0.800844725	0.277492754	0.901150777	0.630823175	0.67257225	0.360424514	0.497348338
ENSG00000093010	COMT	catechol-O-methyltransferase	chr22	19962726	19962824	99	*	8	4.319408168	-1.837107542	-11.99546241	0.000204119	0.048665148	1359870	1359877	8	Hypomethylated	-58	0.88155747	0.895938705	0.798073131	0.844952721	0.296965956	0.362226727	0.407981077	0.490496396	0.483702803	0.675225324	0.284583098
ENSG00000095370	SH2D3C	SH2 domain containing 3C	chr9	127741427	127741931	505	*	6	1.874399546	-1.066375369	-8.022555402	0.001347186	0.049535451	648284	648289	6	Hypomethylated	-34	0.999993952	0.963791682	0.998559552	0.962689869	0.590018524	0.739772356	0.746120524	0.692780039	0.693115396	0.881896088	0.673963695
ENSG00000095370.1	SH2D3C.1	SH2 domain containing 3C	chr9	127754243	127755547	1305	*	37	23.67216991	-1.695601478	-11.92246336	0.000224531	0.048665148	648301	648337	37	Hypomethylated	-54	0.746776232	0.963842521	0.804550179	0.89953957	0.164439771	0.354830825	0.357817577	0.291482863	0.371307895	0.454312805	0.205512296
ENSG00000095932	SMIM24	small integral membrane protein 24	chr19	3480507	3481864	1358	*	19	8.488480271	-1.152807251	-9.164274573	0.000836888	0.048665148	1207514	1207532	19	Hypomethylated	-37	0.869648059	0.691867992	0.85751436	0.742424751	0.317827661	0.374285757	0.365704715	0.466636565	0.438722858	0.582271276	0.428620227
ENSG00000097021	ACOT7	acyl-CoA thioesterase 7	chr1	6300488	6300873	386	*	22	5.845849104	-1.059369096	-10.00357517	0.000612357	0.048665148	16123	16144	22	Hypomethylated	-34	0.920140602	0.973892599	0.940530913	0.92094262	0.659747402	0.764107374	0.816419744	0.779409239	0.821314406	0.896574824	0.704430291
ENSG00000099204	ABLIM1	actin binding LIM protein 1	chr10	114514145	114514254	110	*	6	4.638012545	-2.029010098	-9.907219549	0.000653181	0.048665148	723898	723903	6	Hypomethylated	-65	0.971369833	0.986273026	0.941575783	0.918566489	0.307433862	0.494499145	0.473874552	0.470827363	0.511251991	0.872125265	0.29176785
ENSG00000099797	TECR	"trans-2,3-enoyl-CoA reductase"	chr19	14563653	14563871	219	*	8	5.805478816	-2.1206617	-11.39645499	0.000265355	0.048665148	1232756	1232763	8	Hypomethylated	-68	0.821833233	0.859252728	0.761573047	0.884383818	0.461508966	0.516727576	0.448887498	0.503643607	0.467445127	0.702534562	0.351611747
ENSG00000100106	TRIOBP	TRIO and F-actin binding protein	chr22	37749269	37749839	571	*	5	3.755718411	-2.049969545	-8.973539283	0.000918536	0.048665148	1374895	1374899	5	Hypomethylated	-65	0.99999976	0.987483942	0.821720255	0.955882474	0.263974992	0.169828997	0.396025118	0.423007507	0.43128927	0.709123631	0.388766208
ENSG00000100218	RSPH14	radial spoke head 14 homolog	chr22	23099160	23099215	56	*	5	3.496607094	-2.157648843	-11.72073643	0.000244943	0.048665148	1363167	1363171	5	Hypomethylated	-69	0.987242229	0.983130627	0.985825485	0.962320841	0.954165619	0.860352478	0.921657842	0.896333613	0.857953384	0.75650504	0.691425367
ENSG00000100234	TIMP3	TIMP metallopeptidase inhibitor 3	chr22	32847280	32847462	183	*	5	3.97248107	-2.341876667	-9.221529199	0.000816476	0.048665148	1371032	1371036	5	Hypomethylated	-75	0.850736476	0.93154305	0.952747378	0.876071675	0.320616087	0.456320207	0.455756848	0.485889714	0.433608725	0.549246346	0.293171334
ENSG00000100284	TOM1	target of myb1 membrane trafficking protein	chr22	35315885	35316015	131	*	8	7.168935982	-2.068047441	-13.43360838	8.16E-05	0.036728413	1371724	1371731	8	Hypomethylated	-66	0.978909955	0.979173549	0.949143754	0.953021194	0.732615738	0.723414987	0.751263851	0.615835689	0.74628981	0.729144468	0.421824996
ENSG00000100599	RIN3	Ras and Rab interactor 3	chr14	92687198	92688261	1064	*	38	25.31890937	-1.484926357	-11.42469697	0.000265355	0.048665148	937298	937335	38	Hypomethylated	-47	0.901630838	0.940116396	0.933960294	0.815210143	0.111550497	0.455601389	0.290760027	0.293992572	0.345940037	0.512007068	0.20604985
ENSG00000101096	NFATC2	nuclear factor of activated T cells 2	chr20	51428510	51428629	120	*	6	5.342215844	-2.632243788	-17.20565506	2.04E-05	0.036728413	1320634	1320639	6	Hypomethylated	-84	0.775142804	0.840781028	0.870625659	0.878821554	0.42805172	0.664076762	0.641678603	0.594814016	0.563050102	0.642642593	0.513711844
ENSG00000101213	PTK6	protein tyrosine kinase 6	chr20	63536428	63536790	363	*	14	7.106816004	-1.215163651	-8.230330317	0.001224715	0.049321012	1333507	1333520	14	Hypomethylated	-39	0.517399808	0.485300721	0.508299268	0.60983389	0.049834406	0.186790125	0.213286025	0.254607218	0.201373875	0.281810884	0.018807029
ENSG00000102539	MLNR	motilin receptor	chr13	49218358	49219430	1073	*	15	5.149093125	-0.931312744	-8.390752357	0.001081831	0.048665148	890955	890969	15	Hypomethylated	-30	0.837856722	0.832312367	0.838542053	0.833258968	0.439456065	0.566577679	0.434910167	0.499849326	0.477010724	0.640070974	0.343925672
ENSG00000102882	MAPK3	mitogen-activated protein kinase 3	chr16	30114738	30116195	1458	*	9	4.363687201	-1.339460239	-8.273014719	0.001204303	0.049321012	1031091	1031099	9	Hypomethylated	-43	0.898446517	0.999996097	0.866508713	0.93932361	0.42421579	0.636094501	0.612627418	0.533917402	0.495380775	0.720991451	0.516711705
ENSG00000102934	PLLP	plasmolipin	chr16	57283612	57283928	317	*	18	8.21624147	-1.237783206	-8.852336907	0.000979772	0.048665148	1041947	1041964	18	Hypomethylated	-39	0.148303712	0.273288365	0.135174113	0.298288922	0.146300665	0.186097138	0.157306992	0.228058337	0.262741305	0.118906975	0.139161069
ENSG00000103257	SLC7A5	solute carrier family 7 member 5	chr16	87867024	87867439	416	*	9	4.16173846	-1.602322907	-10.19268078	0.000571534	0.048665148	1063191	1063199	9	Hypomethylated	-51	0.666327461	0.704661447	0.458130024	0.714652026	0.31929104	0.245493664	0.455625299	0.421427478	0.343344986	0.170760947	0.391168479
ENSG00000103326	CAPN15	calpain 15	chr16	554686	555673	988	*	17	9.114509498	-1.38378028	-8.366786193	0.001122655	0.048939664	1000628	1000644	17	Hypomethylated	-44	0.951332096	0.933578957	0.845146439	0.914608266	0.389732729	0.496248845	0.468604376	0.510691001	0.499299424	0.63806726	0.188444067
ENSG00000103591	AAGAB	alpha and gamma adaptin binding protein	chr15	67253147	67253260	114	*	5	3.616226116	-1.910893644	-9.685749676	0.000673593	0.048665148	976747	976751	5	Hypomethylated	-61	0.409112245	0.402088557	0.412590462	0.43891043	0.172578289	0.195634405	0.349665795	0.315654507	0.274036239	0.319543778	0.111729433
ENSG00000104081	BMF	Bcl2 modifying factor	chr15	40103636	40104892	1257	*	9	5.911412	-1.578344777	-8.290000218	0.001163479	0.049321012	962358	962366	9	Hypomethylated	-50	0.211297974	0.425683566	0.205904882	0.283350902	0.144379413	0.14268151	0.14589129	0.116160345	0.181640675	0.119314812	0.0468628
ENSG00000104714	ERICH1	glutamate rich 1	chr8	686526	687620	1095	*	8	4.224377496	-2.329918316	-14.60596665	8.16E-05	0.036728413	552444	552451	8	Hypomethylated	-74	0.92770707	0.952105545	0.971467265	0.935244546	0.2595805	0.157737094	0.351702481	0.367106562	0.389959678	0.564301966	0.111493394
ENSG00000105325	FZR1	fizzy and cell division cycle 20 related 1	chr19	3507535	3508032	498	*	17	4.870781579	-1.392585491	-9.410902053	0.000775653	0.048665148	1207691	1207707	17	Hypomethylated	-44	0.643343406	0.66619094	0.680564914	0.609782965	0.440787873	0.4038534	0.329774479	0.306618253	0.313775774	0.426403868	0.203096618
ENSG00000105426	PTPRS	protein tyrosine phosphatase receptor type S	chr19	5250406	5251546	1141	*	15	9.522286364	-1.905068335	-13.16575867	8.16E-05	0.036728413	1213537	1213551	15	Hypomethylated	-61	0.860838261	0.875415358	0.876728507	0.838711972	0.330423575	0.226394166	0.305911541	0.27398362	0.307576251	0.560584663	0.156850075
ENSG00000105655	ISYNA1	inositol-3-phosphate synthase 1	chr19	18439644	18440031	388	*	7	5.386610102	-2.249151081	-11.08006697	0.000306179	0.048665148	1239897	1239903	7	Hypomethylated	-72	0.879284463	0.858170186	0.573558825	0.81491935	0.169019037	0.050888349	0.38164321	0.171311351	0.276871214	0.327284168	0.043904451
ENSG00000105963	ADAP1	ArfGAP with dual PH domains 1	chr7	913791	914210	420	*	8	3.865535904	-1.192507662	-8.899408136	0.000979772	0.048665148	477205	477212	8	Hypomethylated	-38	0.785949252	0.861335043	0.745942528	0.868646532	0.329567672	0.496531718	0.378186365	0.426192957	0.448121422	0.443328076	0.287844682
ENSG00000105997	HOXA3	homeobox A3	chr7	27106546	27108585	2040	*	42	21.6088394	-1.541130597	-10.73953998	0.000408238	0.048665148	494745	494786	42	Hypomethylated	-49	0.964124006	0.927862655	0.879039071	0.908519071	0.364346705	0.467970006	0.418432902	0.407995257	0.399383343	0.748940915	0.26727475
ENSG00000105997.1	HOXA3.1	homeobox A3	chr7	27110466	27110979	514	*	18	11.91078166	-1.854907379	-12.83857769	0.00010206	0.036728413	494787	494804	18	Hypomethylated	-59	0.986654104	0.977504215	0.956950572	0.966089256	0.140386203	0.366519244	0.289414459	0.434952785	0.375109295	0.599633748	0.164558358
ENSG00000105997.2	HOXA3.2	homeobox A3	chr7	27113517	27114126	610	*	33	20.78287581	-1.878437736	-13.01038916	0.00010206	0.036728413	494805	494837	33	Hypomethylated	-60	0.95905127	0.913149126	0.922709909	0.848389438	0.171910376	0.384497583	0.363825244	0.383281808	0.483113985	0.559234654	0.105877473
ENSG00000106003	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	chr7	2524589	2526900	2312	*	35	18.77869195	-1.197336146	-8.177180778	0.001245127	0.049321012	483273	483307	35	Hypomethylated	-38	0.932481837	0.909878773	0.799658005	0.870762256	0.195609028	0.670942389	0.45256856	0.381971979	0.517132374	0.527601125	0.194072427
ENSG00000106004	HOXA5	homeobox A5	chr7	27141911	27145531	3621	*	102	44.14309651	-0.875709761	-8.030765104	0.001347186	0.049535451	494952	495053	102	Hypomethylated	-28	0.662536063	0.79224891	0.561181634	0.739323167	0.274747686	0.357790817	0.334908122	0.269982842	0.389695121	0.430306275	0.16184088
ENSG00000106018	VIPR2	vasoactive intestinal peptide receptor 2	chr7	159211716	159211783	68	*	5	2.403092737	-1.184820759	-8.226279985	0.001224715	0.049321012	552030	552034	5	Hypomethylated	-38	0.860938014	0.92298074	0.691249857	0.810812573	0.397906252	0.374321829	0.476551987	0.448849737	0.467640239	0.554740557	0.308793675
ENSG00000106211	HSPB1	heat shock protein family B (small) member 1	chr7	76309766	76309854	89	*	10	4.307109327	-1.424053005	-12.72142452	0.00010206	0.036728413	514473	514482	10	Hypomethylated	-45	0.995895979	0.973683053	0.973374729	0.97678032	0.492844837	0.749867928	0.897074211	0.475299779	0.799512925	0.600684797	0.89969756
ENSG00000106617	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	chr7	151694874	151696299	1426	*	23	10.55903862	-1.065017648	-9.682577057	0.000673593	0.048665148	543746	543768	23	Hypomethylated	-34	0.937125207	0.872993272	0.82713585	0.948389378	0.357591741	0.660005575	0.505009823	0.660747839	0.66258662	0.667642785	0.472686455
ENSG00000106617.1	PRKAG2.1	protein kinase AMP-activated non-catalytic subunit gamma 2	chr7	151819161	151820186	1026	*	6	3.842014657	-2.184167216	-10.64268039	0.000408238	0.048665148	543932	543937	6	Hypomethylated	-70	0.844575141	0.991343626	0.999440052	0.865012147	0.451794135	0.532338287	0.483555626	0.465847202	0.494518114	0.61184098	0.193343843
ENSG00000106785	TRIM14	tripartite motif containing 14	chr9	98087571	98087601	31	*	7	5.132515558	-2.138271884	-15.57890544	4.08E-05	0.036728413	635021	635027	7	Hypomethylated	-68	0.05525185	0.173648152	0.061817974	0.243422761	0.042791711	0.046880492	0.128491848	0.084685091	0.092147047	0.022265957	0.045927488
ENSG00000106852	LHX6	LIM homeobox 6	chr9	122225446	122227576	2131	*	48	13.93588848	-0.951738217	-8.25312965	0.001204303	0.049321012	643180	643227	48	Hypomethylated	-30	0.60165789	0.563887049	0.752789267	0.53170844	0.242924904	0.40256772	0.38291345	0.322494609	0.370376497	0.42569498	0.313174906
