_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.8,M6446,M1,1,0,Transcription Factor Targets,16,CACCCBINDINGFACTOR Q6,,-3.8,3.5,4.7,30337,271,380,12,3.2,0.9,3985|4035|6382|10160|10636|10815|23136|23174|23187|63976|79026|90427,LIMK2|LRP1|SDC1|FARP1|RGS14|CPLX1|EPB41L3|ZCCHC14|PHLDB1|PRDM16|AHNAK|BMF,-1.2,0
1,-3.7,M40841,M1,1,0,Transcription Factor Targets,16,ADNP TARGET GENES,,-3.7,5.9,5.4,30337,94,380,7,1.8,0.69,115|2395|9902|10801|23499|26119|147138,ADCY9|FXN|MRC2|SEPTIN9|MACF1|LDLRAP1|TMC8,-1.2,0
1,-3.6,M17712,M1,1,0,Transcription Factor Targets,16,WGTTNNNNNAAA UNKNOWN,,-3.6,2.6,4.3,30337,554,380,18,4.7,1.1,105|639|1298|3142|3200|3202|3216|3983|3985|4774|5998|8140|54453|63976|161882|202333|374655|389558,ADARB2|PRDM1|COL9A2|HLX|HOXA3|HOXA5|HOXB6|ABLIM1|LIMK2|NFIA|RGS3|SLC7A5|RIN2|PRDM16|ZFPM1|CMYA5|ZNF710|FAM180A,-1.2,0
1,-3.6,M18732,M1,1,0,Transcription Factor Targets,16,AP2ALPHA 01,,-3.6,3.6,4.6,30337,243,380,11,2.9,0.86,1059|3090|3200|4035|5605|7071|25862|26468|55182|63976|79026,CENPB|HIC1|HOXA3|LRP1|MAP2K2|KLF10|USP49|LHX6|RNF220|PRDM16|AHNAK,-1.2,0
1,-3.3,M19962,M1,1,0,Transcription Factor Targets,16,AR Q6,,-3.3,3.4,4.4,30337,259,380,11,2.9,0.86,1969|3200|3559|5595|9825|10044|23369|26960|55684|57007|389558,EPHA2|HOXA3|IL2RA|MAPK3|SPATA2|SH2D3C|PUM2|NBEA|RABL6|ACKR3|FAM180A,-1,0
1,-3.3,M10921,M1,1,0,Transcription Factor Targets,16,AREB6 03,,-3.3,3.3,4.3,30337,263,380,11,2.9,0.86,886|1788|3985|5154|10044|26960|54961|79990|130497|339983|374655,CCKAR|DNMT3A|LIMK2|PDGFA|SH2D3C|NBEA|SSH3|PLEKHH3|OSR1|NAT8L|ZNF710,-0.98,0
1,-3.3,M7236,M1,1,0,Transcription Factor Targets,16,LMO2COM 01,,-3.3,3.3,4.3,30337,265,380,11,2.9,0.86,1788|1969|5590|10044|26960|51764|79990|116986|116988|130497|374655,DNMT3A|EPHA2|PRKCZ|SH2D3C|NBEA|GNG13|PLEKHH3|AGAP2|AGAP3|OSR1|ZNF710,-0.96,0
1,-3.2,M1716,M1,1,0,Transcription Factor Targets,16,RAAGNYNNCTTY UNKNOWN,,-3.2,4.3,4.6,30337,148,380,8,2.1,0.74,864|3202|7434|8291|23051|83648|116986|161882,RUNX3|HOXA5|VIPR2|DYSF|ZHX3|FAM167A|AGAP2|ZFPM1,-0.95,0
1,-3.2,M5568,M1,1,0,Transcription Factor Targets,16,ETS1 B,,-3.2,3.3,4.2,30337,268,380,11,2.9,0.86,2107|3090|5998|10636|23526|50619|54863|79652|116986|153090|201305,ETF1|HIC1|RGS3|RGS14|ARHGAP45|DEF6|TOR4A|TMEM204|AGAP2|DAB2IP|SPNS3,-0.94,0
1,-3.2,M12818,M1,1,0,Transcription Factor Targets,16,AML Q6,,-3.2,3.3,4.2,30337,269,380,11,2.9,0.86,2107|2672|3142|3216|3985|5048|5802|23136|23526|92922|201176,ETF1|GFI1|HLX|HOXB6|LIMK2|PAFAH1B1|PTPRS|EPB41L3|ARHGAP45|CCDC102A|ARHGAP27,-0.94,0
1,-3.2,M1532,M1,1,0,Transcription Factor Targets,16,EGR1 01,,-3.2,3.3,4.2,30337,269,380,11,2.9,0.86,3202|5048|7022|7171|9902|22883|29933|79990|94086|161882|387882,HOXA5|PAFAH1B1|TFAP2C|TPM4|MRC2|CLSTN1|GPR132|PLEKHH3|HSPB9|ZFPM1|C12orf75,-0.94,0
1,-3.2,M40810,M1,1,0,Transcription Factor Targets,16,ZNF579 TARGET GENES,,-3.2,2.3,3.9,30337,652,380,19,5,1.1,1312|1788|3689|3955|5395|5998|9314|22997|23353|26119|50619|51252|55182|57553|57593|57648|81873|401303|101928784,COMT|DNMT3A|ITGB2|LFNG|PMS2|RGS3|KLF4|IGSF9B|SUN1|LDLRAP1|DEF6|FAM178B|RNF220|MICAL3|EBF4|NHSL3|ARPC5L|ZNF815P|RORA-AS1,-0.94,0
1,-3.1,M14350,M1,1,0,Transcription Factor Targets,16,NKX22 01,,-3.1,3.7,4.3,30337,192,380,9,2.4,0.78,3200|4774|4784|5998|6586|55684|56262|161502|339983,HOXA3|NFIA|NFIX|RGS3|SLIT3|RABL6|LRRC8A|CFAP161|NAT8L,-0.9,0
1,-3.1,M18169,M1,1,0,Transcription Factor Targets,16,YATGNWAAT OCT C,,-3.1,2.8,4,30337,367,380,13,3.4,0.93,639|1523|1952|2049|3200|3202|3216|4774|7022|10801|22859|26468|55229,PRDM1|CUX1|CELSR2|EPHB3|HOXA3|HOXA5|HOXB6|NFIA|TFAP2C|SEPTIN9|ADGRL1|LHX6|PANK4,-0.89,0
1,-3,M6052,M1,1,0,Transcription Factor Targets,16,YCATTAA UNKNOWN,,-3,2.4,3.8,30337,567,380,17,4.5,1.1,639|864|1969|2107|2779|3200|3216|7022|11187|26468|56937|58504|79026|116988|130497|146664|342667,PRDM1|RUNX3|EPHA2|ETF1|GNAT1|HOXA3|HOXB6|TFAP2C|PKP3|LHX6|PMEPA1|ARHGAP22|AHNAK|AGAP3|OSR1|MGAT5B|STAC2,-0.86,0
1,-3,M4831,M1,1,0,Transcription Factor Targets,16,SP1 01,,-3,3.3,4.1,30337,239,380,10,2.6,0.82,1305|1788|3200|4035|4330|6886|7171|10804|11187|22883,COL13A1|DNMT3A|HOXA3|LRP1|MN1|TAL1|TPM4|GJB6|PKP3|CLSTN1,-0.85,0
1,-3,M16291,M1,1,0,Transcription Factor Targets,16,YNGTTNNNATT UNKNOWN,,-3,2.8,3.9,30337,376,380,13,3.4,0.93,105|639|3200|3983|3985|4784|5293|5998|6595|6886|7465|26468|50619,ADARB2|PRDM1|HOXA3|ABLIM1|LIMK2|NFIX|PIK3CD|RGS3|SMARCA2|TAL1|WEE1|LHX6|DEF6,-0.82,0
1,-2.9,M30360,M1,1,0,Transcription Factor Targets,16,ZNF589 TARGET GENES,,-2.9,2.2,3.6,30337,688,380,19,5,1.1,3801|4784|5578|5581|5725|5799|5802|6886|8140|22883|54897|55229|55620|57585|58492|79890|84256|254102|401303,KIFC3|NFIX|PRKCA|PRKCE|PTBP1|PTPRN2|PTPRS|TAL1|SLC7A5|CLSTN1|CASZ1|PANK4|STAP2|CRAMP1|ZNF77|RIN3|FLYWCH1|EHBP1L1|ZNF815P,-0.77,0
1,-2.9,M18230,M1,1,0,Transcription Factor Targets,16,ETS Q4,,-2.9,3.2,3.9,30337,252,380,10,2.6,0.82,2107|2672|5998|10636|23526|79652|79890|116986|153090|201305,ETF1|GFI1|RGS3|RGS14|ARHGAP45|TMEM204|RIN3|AGAP2|DAB2IP|SPNS3,-0.73,0
1,-2.8,M40834,M1,1,0,Transcription Factor Targets,16,HDAC8 TARGET GENES,,-2.8,4.2,4.2,30337,132,380,7,1.8,0.69,1759|3187|5395|55182|79652|79890|152877,DNM1|HNRNPH1|PMS2|RNF220|TMEM204|RIN3|FAM53A,-0.72,0
1,-2.8,M8549,M1,1,0,Transcription Factor Targets,16,AREB6 04,,-2.8,3.2,3.9,30337,253,380,10,2.6,0.82,639|4784|5595|6595|9830|50619|56262|90427|256364|389558,PRDM1|NFIX|MAPK3|SMARCA2|TRIM14|DEF6|LRRC8A|BMF|EML3|FAM180A,-0.72,0
1,-2.8,M30051,M1,1,0,Transcription Factor Targets,16,LMTK3 TARGET GENES,,-2.8,2.3,3.6,30337,592,380,17,4.5,1.1,864|2314|4330|5361|5725|10458|11332|23353|23526|26147|57224|58504|79661|84256|150368|201176|374655,RUNX3|FLII|MN1|PLXNA1|PTBP1|BAIAP2|ACOT7|SUN1|ARHGAP45|PHF19|NHSL1|ARHGAP22|NEIL1|FLYWCH1|PHETA2|ARHGAP27|ZNF710,-0.72,0
1,-2.8,M10428,M1,1,0,Transcription Factor Targets,16,HNF3ALPHA Q6,,-2.8,3.4,3.9,30337,211,380,9,2.4,0.78,639|1305|4774|6595|8224|10160|10458|23369|54961,PRDM1|COL13A1|NFIA|SMARCA2|SYN3|FARP1|BAIAP2|PUM2|SSH3,-0.72,0
1,-2.8,M7622,M1,1,0,Transcription Factor Targets,16,ZIC3 01,,-2.8,3.1,3.8,30337,255,380,10,2.6,0.82,4035|5023|6586|6886|7078|9469|9516|23254|26468|54897,LRP1|P2RX1|SLIT3|TAL1|TIMP3|CHST3|LITAF|KAZN|LHX6|CASZ1,-0.72,0
1,-2.8,M8101,M1,1,0,Transcription Factor Targets,16,NGFIC 01,,-2.8,3.1,3.8,30337,255,380,10,2.6,0.82,2107|5133|7171|8553|22883|79026|79990|116988|161882|339983,ETF1|PDCD1|TPM4|BHLHE40|CLSTN1|AHNAK|PLEKHH3|AGAP3|ZFPM1|NAT8L,-0.72,0
1,-2.8,M11921,M1,1,0,Transcription Factor Targets,16,NFKB Q6,,-2.8,3.1,3.8,30337,258,380,10,2.6,0.82,1969|3559|4035|5998|6886|8553|9536|54453|90427|92922,EPHA2|IL2RA|LRP1|RGS3|TAL1|BHLHE40|PTGES|RIN2|BMF|CCDC102A,-0.7,0
1,-2.8,M16079,M1,1,0,Transcription Factor Targets,16,P53 DECAMER Q2,,-2.8,3.1,3.8,30337,258,380,10,2.6,0.82,3625|4035|5493|6595|11187|57585|79778|90427|153090|389337,INHBB|LRP1|PPL|SMARCA2|PKP3|CRAMP1|MICALL2|BMF|DAB2IP|ARHGEF37,-0.7,0
1,-2.8,M4153,M1,1,0,Transcription Factor Targets,16,PXR Q2,,-2.8,3.1,3.8,30337,260,380,10,2.6,0.82,6533|6649|6886|8553|11187|23499|79778|256364|285498|342667,SLC6A6|SOD3|TAL1|BHLHE40|PKP3|MACF1|MICALL2|EML3|RNF212|STAC2,-0.69,0
1,-2.8,M30110,M1,1,0,Transcription Factor Targets,16,PAX7 TARGET GENES,,-2.8,2.1,3.4,30337,711,380,19,5,1.1,1534|4774|5581|6595|10458|10801|22904|23030|23136|23327|23369|51084|51422|56928|57418|57597|64506|157697|219654,CYB561|NFIA|PRKCE|SMARCA2|BAIAP2|SEPTIN9|SBNO2|KDM4B|EPB41L3|NEDD4L|PUM2|CRYL1|PRKAG2|SPPL2B|WDR18|BAHCC1|CPEB1|ERICH1|ZCCHC24,-0.69,0
1,-2.7,M613,M1,1,0,Transcription Factor Targets,16,TGANNYRGCA TCF11MAFG 01,,-2.7,2.9,3.7,30337,307,380,11,2.9,0.86,639|4035|5048|5595|6595|10801|65244|79026|79058|79990|256364,PRDM1|LRP1|PAFAH1B1|MAPK3|SMARCA2|SEPTIN9|SPATS2|AHNAK|ASPSCR1|PLEKHH3|EML3,-0.68,0
1,-2.7,M30323,M1,1,0,Transcription Factor Targets,16,ZNF436 TARGET GENES,,-2.7,2.4,3.5,30337,502,380,15,3.9,1,240|924|1523|5753|5802|7171|9963|10636|10801|23526|26119|54082|147138|150209|399474,ALOX5|CD7|CUX1|PTK6|PTPRS|TPM4|SLC23A1|RGS14|SEPTIN9|ARHGAP45|LDLRAP1|TSPEAR-AS1|TMC8|AIFM3|TMEM200B,-0.68,0
1,-2.7,M17925,M1,1,0,Transcription Factor Targets,16,MGGAAGTG GABP B,,-2.7,2.1,3.4,30337,771,380,20,5.3,1.1,2107|2672|3559|3985|5771|5998|7260|9319|10636|23352|23526|51411|51422|54863|90427|116986|219654|220064|221472|256364,ETF1|GFI1|IL2RA|LIMK2|PTPN2|RGS3|EIPR1|TRIP13|RGS14|UBR4|ARHGAP45|BIN2|PRKAG2|TOR4A|BMF|AGAP2|ZCCHC24|LTO1|FGD2|EML3,-0.67,0
1,-2.7,M15183,M1,1,0,Transcription Factor Targets,16,E12 Q6,,-2.7,3,3.7,30337,265,380,10,2.6,0.82,1003|1788|23327|50619|51422|55182|79990|116988|130497|374655,CDH5|DNMT3A|NEDD4L|DEF6|PRKAG2|RNF220|PLEKHH3|AGAP3|OSR1|ZNF710,-0.66,0
1,-2.7,M3489,M1,1,0,Transcription Factor Targets,16,AMEF2 Q6,,-2.7,3,3.7,30337,265,380,10,2.6,0.82,1305|3142|3216|5998|6382|9524|10804|54961|339983|389337,COL13A1|HLX|HOXB6|RGS3|SDC1|TECR|GJB6|SSH3|NAT8L|ARHGEF37,-0.66,0
1,-2.7,M14521,M1,1,0,Transcription Factor Targets,16,GATA2 01,,-2.7,4.6,4.1,30337,105,380,6,1.6,0.64,3216|4035|4774|5048|11078|26468,HOXB6|LRP1|NFIA|PAFAH1B1|TRIOBP|LHX6,-0.65,0
1,-2.7,M4215,M1,1,0,Transcription Factor Targets,16,PAX4 04,,-2.7,3.2,3.8,30337,223,380,9,2.4,0.78,3142|3202|3983|4784|5998|23327|23526|26053|161502,HLX|HOXA5|ABLIM1|NFIX|RGS3|NEDD4L|ARHGAP45|AUTS2|CFAP161,-0.65,0
1,-2.7,M19129,M1,1,0,Transcription Factor Targets,16,CREB Q2,,-2.7,3,3.7,30337,269,380,10,2.6,0.82,379|1969|2107|4772|5048|7171|9902|11033|83648|130497,ARL4D|EPHA2|ETF1|NFATC1|PAFAH1B1|TPM4|MRC2|ADAP1|FAM167A|OSR1,-0.64,0
1,-2.6,M40799,M1,1,0,Transcription Factor Targets,16,ZNF584 TARGET GENES,,-2.6,3.5,3.8,30337,183,380,8,2.1,0.74,3187|5578|6886|8140|22883|55229|55620|84256,HNRNPH1|PRKCA|TAL1|SLC7A5|CLSTN1|PANK4|STAP2|FLYWCH1,-0.64,0
1,-2.6,M16207,M1,1,0,Transcription Factor Targets,16,AP2 Q6 01,,-2.6,2.9,3.6,30337,271,380,10,2.6,0.82,1788|1952|4330|5209|7022|7071|25862|55182|63976|339983,DNMT3A|CELSR2|MN1|PFKFB3|TFAP2C|KLF10|USP49|RNF220|PRDM16|NAT8L,-0.63,0
1,-2.6,M5440,M1,1,0,Transcription Factor Targets,16,AP1 Q4,,-2.6,2.9,3.6,30337,271,380,10,2.6,0.82,639|1759|1969|5595|6595|8642|51252|79990|256364|389558,PRDM1|DNM1|EPHA2|MAPK3|SMARCA2|DCHS1|FAM178B|PLEKHH3|EML3|FAM180A,-0.63,0
1,-2.6,M492,M1,1,0,Transcription Factor Targets,16,SRY 01,,-2.6,3.2,3.7,30337,228,380,9,2.4,0.78,1677|3142|3983|4774|5293|6886|8642|22883|55182,DFFB|HLX|ABLIM1|NFIA|PIK3CD|TAL1|DCHS1|CLSTN1|RNF220,-0.62,0
1,-2.6,M14778,M1,1,0,Transcription Factor Targets,16,IK2 01,,-2.6,2.9,3.6,30337,273,380,10,2.6,0.82,639|1003|1969|3200|4035|4330|4774|5023|79026|90427,PRDM1|CDH5|EPHA2|HOXA3|LRP1|MN1|NFIA|P2RX1|AHNAK|BMF,-0.62,0
1,-2.6,M40809,M1,1,0,Transcription Factor Targets,16,MYOCD TARGET GENES,,-2.6,2.2,3.4,30337,572,380,16,4.2,1,1487|1788|5595|8019|8553|9612|10804|23327|23499|51422|54965|57153|57224|83648|389337|100874362,CTBP1|DNMT3A|MAPK3|BRD3|BHLHE40|NCOR2|GJB6|NEDD4L|MACF1|PRKAG2|PIGX|SLC44A2|NHSL1|FAM167A|ARHGEF37|HOXB-AS1,-0.61,0
1,-2.6,M3572,M1,1,0,Transcription Factor Targets,16,LEF1 Q2,,-2.6,3.1,3.6,30337,231,380,9,2.4,0.78,864|1269|1305|1969|7799|8642|54897|79026|89796,RUNX3|CNR2|COL13A1|EPHA2|PRDM2|DCHS1|CASZ1|AHNAK|NAV1,-0.6,0
1,-2.6,M4770,M1,1,0,Transcription Factor Targets,16,COREBINDINGFACTOR Q6,,-2.6,2.9,3.6,30337,276,380,10,2.6,0.82,1298|2107|3142|3216|4784|5048|5802|10801|23136|23526,COL9A2|ETF1|HLX|HOXB6|NFIX|PAFAH1B1|PTPRS|SEPTIN9|EPB41L3|ARHGAP45,-0.6,0
1,-2.6,M30113,M1,1,0,Transcription Factor Targets,16,PBXIP1 TARGET GENES,,-2.6,2.9,3.5,30337,277,380,10,2.6,0.82,1003|1487|2621|4772|6452|7434|57666|64090|116988|200931,CDH5|CTBP1|GAS6|NFATC1|SH3BP2|VIPR2|FBRSL1|GAL3ST2|AGAP3|SLC51A,-0.59,0
1,-2.6,M19455,M1,1,0,Transcription Factor Targets,16,PR 01,,-2.6,3.8,3.8,30337,149,380,7,1.8,0.69,3202|4155|5998|6382|8553|54897|116986,HOXA5|MBP|RGS3|SDC1|BHLHE40|CASZ1|AGAP2,-0.59,0
1,-2.5,M30266,M1,1,0,Transcription Factor Targets,16,ZNF16 TARGET GENES,,-2.5,5.2,4.1,30337,77,380,5,1.3,0.58,4782|7171|23526|153090|256364,NFIC|TPM4|ARHGAP45|DAB2IP|EML3,-0.59,0
1,-2.5,M3872,M1,1,0,Transcription Factor Targets,16,MYOGNF1 01,,-2.5,6.7,4.4,30337,48,380,4,1.1,0.52,3200|3216|4774|90427,HOXA3|HOXB6|NFIA|BMF,-0.57,0
1,-2.5,M11022,M1,1,0,Transcription Factor Targets,16,MAZ Q6,,-2.5,3.3,3.6,30337,193,380,8,2.1,0.74,1969|8642|22883|23352|55182|63976|79026|219654,EPHA2|DCHS1|CLSTN1|UBR4|RNF220|PRDM16|AHNAK|ZCCHC24,-0.56,0
